Country,Species,Most common name,Description Of Specific Uses,Lang,Description,Transboundary name,Other name,Uses,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Other specific visible traits,Breed classification,Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Egs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length AVG,Lactation length MIN,Lactation length MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG,Milk fat MIN,Milk fat MAX,Milk per day,Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition AVG,Age first parturition MIN,Age first parturition MAX,Parturition interval AVG,Parturition interval MIN,Parturition interval MAX,Length productive life,Daily gain,Carcass weight,Dressing percentage,Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Local Detailed Risk,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed)
Albania,Horse,Haflinger,,,,Haflinger,,DraughtPower,2002: the population is decreasing.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,,,,145,140,472,448,,,,,domestic,breed,continually imported,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Albania,Horse,Nonius,,eng.,,Nonius,,DraughtPower,2002: the population is decreasing.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: black,,,,,,158,150,470,430,,,,,domestic,breed,,,,low area of Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,36,,,,,,,,,,,,,,,,,,,,,,regional,No Information,unknown,unknown,endangered,
Algeria,Horse,Arabe Barbe,,fr.,,West African Barb,"West African Barb, Arab-Barb",DraughtPower,,,,,These animals do not require much attention and can survive under harsh conditions.,,, ,"The breed is bigger and stronger than Arab horses with high hind quarters and feet especially adapted for speed. This breed has been introduced into horse shows since 1975. The breed has been used in wars, for cultural festivals and for work.",,,,,,,,,,,,,,uni coloured: grey,,,,,,155,155,500,400,,,,,domestic,breed,This breed is the result of a cross between Arab and Barb horses and is the best known horse breed in Algeria.,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,60,65,,,,,,,,,,,,,,,FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, fed on total grazing with barley and oat concentrates.",These animals are fed on total grazing and barley and oats concentrates.,"This breed is in heat seasonally from Feburary to June, duration of heat is 7 days with average fecundity of 80-95%.",,,,regional,No Information,unknown,unknown,unknown,
Algeria,Horse,Barbe,,fr.,,Barb,Barb,Sport,,,,,,,, ,"This breed is an excellent saddle horse, characterised by its endurance and rusticity.",,,,,,,,,,,,,,"uni coloured: chestnut, grey, bay",,,,,,155,150,500,400,These animals are streamlined with a light profile.,,,,domestic,breed,,,,"originated in the steppe zones of Tebessa, M'sila, Barika, Tiaret, Saida, Boussaada and Setif",,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,25,25,,,,,,36,36,,,,,,,,FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, housed for the whole year and fed on a diet rich in sugar, barley, hay, oat husks and straw.",,- fecundity 80-95%;<br> - breeding season from February to June;<br>,,,,international,No Information,unknown,unknown,,notAtRisk
Argentina,Horse,Crioulo,,sp.,,Argentine Criollo,"Argentine Criollo, Argentine Landrace",DraughtPower,,,,,,,The animals are bred under range conditions all year round., ,This is a hardy breed.,,,,,,,,,,,,,,,,,,,,144,144,420,420,light animals,Local Adapted,y,,Domestic,Breed,"Criollo type, revived 1875 1890",1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regional,No Material,unknown,unknown,notAtRisk,
Argentina,Horse,Falabella Pony,,eng.,,Falabella Pony,"Miniature Horse, Toy Horse, Argentine Dwarf",,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,85,70,80,70,one of the smallest horse breeds,Local Adapted,y,,Domestic,Breed,probably descended from Shetland Pony,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,10,15,,,,,,,,,,,,,,,FAO Breed Survey,,Some breeders keep their animals indoor.,,,,,international,No Material,unknown,unknown,,vulnerable
Australia,Horse,American Saddlebred,,eng.,,American Saddle Horse,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Andalusian,,eng.,,Andalusian,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,"imported from Spain, Andalusia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Appaloosa,,,,Appaloosa,,,,,,,,,, ,,,,,,,,,,,,,,,multi coloured: white rump usually with small spots,,,,,,,,,,light animals,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Australian Brumby,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
